Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class_BOMBAY,Class_CALI,Class_DERMASON,Class_HOROZ,Class_SEKER,Class_SIRA
-0.7836840174623408,-0.973979840562676,-1.2744543008337035,-0.4397231793051996,-1.7400713851246044,-2.7444286043464596,-0.7717705578872692,-0.9710319937381962,0.6788565293295373,-2.2823582173429293,0.5124097651310452,2.080706101556101,0.4027392034078965,2.5078476296166112,2.2035196861981303,-0.2057059084403536,0,0,0,0,1,0
-0.779185102584983,-1.094022849679191,-1.3760471844525113,-0.2668941557056033,-2.1176652512081993,-4.5421123809944195,-0.7820736275669317,-0.9637768460205973,0.48231173830291346,0.8140342091040501,1.8736257793893036,2.766209500988408,0.11892169511554837,3.263301395078422,3.014859899800718,0.9444877083478487,0,0,0,0,1,0
-0.7662677636568114,-1.0493015841858035,-1.246009186947047,-0.4348098123770688,-1.691458939035217,-2.5793747755807646,-0.767642617917893,-0.9430336167201887,0.4327569963983314,0.4811407966223924,1.574816281774071,2.034420949202975,0.3693823192678025,2.4134566706826748,2.1500373022209294,0.7542635799342208,0,0,0,0,1,0
-0.7462271428394898,-0.9986411034064175,-1.22674303198943,-0.3851158034370426,-1.7123447032533579,-2.6490611836350957,-0.7483117770856924,-0.9111047914079595,0.2351367271674742,0.6069367240969835,1.3305010082393864,2.061764753902382,0.2994103403064256,2.3918252545628094,2.181613136485285,0.5735098244150395,0,0,0,0,1,0
-0.7160639635481129,-0.9998345407009356,-1.2472851035447223,-0.2399999795769281,-1.910406243490323,-3.4163412064291205,-0.7202887699765127,-0.8636122538909262,0.505164119739894,1.001754988128295,1.799449172802426,2.400970339645533,0.08109078000558884,2.6776934783863853,2.578087346887519,0.9573176509437067,0,0,0,0,1,0
-0.7152800617134217,-0.9376545929107962,-1.2467879282732632,-0.23281140584215929,-1.9171139140695919,-3.44643941836289,-0.7163621929324719,-0.8623868005815403,0.2522582904473935,0.37502355651623426,1.1447891465310036,2.4034219202732383,0.07802890964496016,2.6783500727551415,2.5809849615077995,0.6876225338508458,0,0,0,0,1,0
-0.7149051521403086,-0.9350392869646077,-1.0362674566994363,-0.5640602889327755,-1.1225512328077971,-1.1725908949572463,-0.7172347656089254,-0.8618008698236549,0.6125648583881965,0.6225251005068917,1.123076550002599,1.2019031675084824,0.5762927431567463,1.4751756525791373,1.2161293179847186,0.6232610597229852,0,0,0,0,1,0
-0.7119058755554033,-0.9614767201568309,-1.133328299988973,-0.4105014167130438,-1.505875042698347,-2.029217539817054,-0.7157581041564657,-0.8571170416059594,0.22743883759533215,0.9217241767015195,1.4450251924206143,1.7530636136160396,0.3287203829618114,1.9957753373965224,1.8284656976253266,0.8994204678607738,0,0,0,0,1,0
-0.7085316893973849,-0.9164897283908361,-1.1470494892224925,-0.3778537843632276,-1.5706814719621651,-2.208529549211778,-0.7093144905457321,-0.8518553991107576,0.2733086936809295,0.3103358217866788,1.0236931452897948,1.8542948169994113,0.27738642603720476,2.0892260267583453,1.9434663714343285,0.9989421191844943,0,0,0,0,1,0
-0.7069979684164673,-0.9323773623741015,-1.1549468508741163,-0.3559834787862304,-1.611101056232391,-2.3269550095985507,-0.7084083573817227,-0.8494664164421172,0.5378433528901029,0.4327729248210468,1.209859472022043,1.910263258330245,0.25023935352710946,2.142126265148994,2.0073851342200215,0.8070243736667395,0,0,0,0,1,0
-0.7036919476353786,-0.9213846860441307,-1.1493996631331738,-0.35414327932455186,-1.6028599126935412,-2.3023725984486174,-0.7047838247256851,-0.8443224921768585,0.7016695947394525,0.36726690873419854,1.1434331069170078,1.9005670625501485,0.24507118099821343,2.124805302464852,1.996294382640402,0.9012196967765204,0,0,0,0,1,0
-0.7032488726853358,-0.8364501779628194,-1.1449855764111316,-0.3582438504953826,-1.5898150899646748,-2.263924243547906,-0.7018976227958774,-0.8436336865328651,0.19521132052841914,-0.11165886760112831,0.30676815121924,1.8781089200553727,0.25301184513533265,2.101197132620802,1.9706338970010753,0.8276049522771644,0,0,0,0,1,0
-0.6982728001694702,-0.959397528620289,-1.1474650048539496,-0.33691076163629957,-1.619229272690936,-2.3514267230821644,-0.7006558847563089,-0.8359073489702114,0.72606522326297,0.6154364766125837,1.6235470209360188,1.9259530491693349,0.21991064986890255,2.138117166663648,2.0253467884523495,0.9031109971019019,0,0,0,0,1,0
-0.6981364694156109,-0.947094868385008,-1.1495960301798978,-0.33420153056033486,-1.6263251674268668,-2.3729769250698514,-0.7017298203580978,-0.8356959128902303,0.19143348208247793,0.8525970552110842,1.4936789368817172,1.9392003156146336,0.21417928420145838,2.1511871240788483,2.04052694811806,0.9721375873871491,0,0,0,0,1,0
-0.6945918698152683,-0.9221165987599093,-0.9862088195549665,-0.5590201703292131,-1.0308060968478958,-1.0069960136142604,-0.6986758159905107,-0.8302031321574737,0.6097551931428622,0.9441553653223521,1.2817199053788615,1.0719354254854743,0.576110687794898,1.317712987259444,1.0751315735330966,0.3345849731811352,0,0,0,0,1,0
